time,Illumination(lux),year,month,day,hour
20190113:1510,72532.8,2019,01,13,15
20190113:1610,0.0,2019,01,13,16
20190113:1710,0.0,2019,01,13,17
20190113:1810,0.0,2019,01,13,18
20190113:1910,0.0,2019,01,13,19
20190113:2010,0.0,2019,01,13,20
20190113:2110,0.0,2019,01,13,21
20190113:2210,0.0,2019,01,13,22
20190113:2310,0.0,2019,01,13,23
20190114:0010,0.0,2019,01,14,00
20190114:0110,0.0,2019,01,14,01
20190114:0210,0.0,2019,01,14,02
20190114:0310,0.0,2019,01,14,03
20190114:0410,0.0,2019,01,14,04
20190114:0510,0.0,2019,01,14,05
20190114:0610,0.0,2019,01,14,06
20190114:0710,0.0,2019,01,14,07
20190114:0810,67314.0,2019,01,14,08
20190114:0910,90056.40000000001,2019,01,14,09
20190114:1010,101746.8,2019,01,14,10
20190114:1110,102085.20000000001,2019,01,14,11
20190114:1210,101931.59999999999,2019,01,14,12
20190114:1310,97156.8,2019,01,14,13
20190114:1410,87978.0,2019,01,14,14
20190114:1510,70113.59999999999,2019,01,14,15
20190114:1610,0.0,2019,01,14,16
20190114:1710,0.0,2019,01,14,17
20190114:1810,0.0,2019,01,14,18
20190114:1910,0.0,2019,01,14,19
20190114:2010,0.0,2019,01,14,20
20190114:2110,0.0,2019,01,14,21
20190114:2210,0.0,2019,01,14,22
20190114:2310,0.0,2019,01,14,23
20190115:0010,0.0,2019,01,15,00
20190115:0110,0.0,2019,01,15,01
20190115:0210,0.0,2019,01,15,02
20190115:0310,0.0,2019,01,15,03
20190115:0410,0.0,2019,01,15,04
20190115:0510,0.0,2019,01,15,05
20190115:0610,0.0,2019,01,15,06
20190115:0710,0.0,2019,01,15,07
20190115:0810,68024.4,2019,01,15,08
20190115:0910,89418.0,2019,01,15,09
20190115:1010,101107.2,2019,01,15,10
20190115:1110,101433.59999999999,2019,01,15,11
20190115:1210,107169.6,2019,01,15,12
20190115:1310,98676.0,2019,01,15,13
20190115:1410,86096.40000000001,2019,01,15,14
20190115:1510,77013.59999999999,2019,01,15,15
20190115:1610,0.0,2019,01,15,16
20190115:1710,0.0,2019,01,15,17
20190115:1810,0.0,2019,01,15,18
20190115:1910,0.0,2019,01,15,19
20190115:2010,0.0,2019,01,15,20
20190115:2110,0.0,2019,01,15,21
20190115:2210,0.0,2019,01,15,22
20190115:2310,0.0,2019,01,15,23
20190116:0010,0.0,2019,01,16,00
20190116:0110,0.0,2019,01,16,01
20190116:0210,0.0,2019,01,16,02
20190116:0310,0.0,2019,01,16,03
